num,dependency_name,related_options,original_reachability
1,OPENMP_LIBRARIES,USE_OPENMP APPLE,"['USE_OPENMP', 'APPLE']"
2,Protobuf,BUILD_PROTOBUF USE_CAFFE USE_TORCH BUILD_PROTOBUF USE_CAFFE USE_TORCH,"['NOT (BUILD_PROTOBUF)', '', 'USE_CAFFE OR USE_TORCH'] or ['NOT (BUILD_PROTOBUF)', '', 'NOT (USE_CAFFE OR USE_TORCH)', '']"
3,absl,BUILD_PROTOBUF ${Protobuf_VERSION}  absl::strings,"['NOT (BUILD_PROTOBUF)', '', '${Protobuf_VERSION} VERSION_GREATER_EQUAL 4.22.0', 'NOT TARGET absl::strings']"
4,PkgConfig,USE_TF USE_CAFFE2,"['NOT (USE_TF)', 'NOT (USE_CAFFE2)', '']"
5,spdlog,BUILD_SPDLOG,"['NOT (BUILD_SPDLOG)', '']"
6,Boost,USE_BOOST_BACKTRACE USE_BOOST_BACKTRACE,"['USE_BOOST_BACKTRACE'] or ['NOT (USE_BOOST_BACKTRACE)', '']"
7,CUDA,USE_CPU_ONLY,"['NOT (USE_CPU_ONLY)', '']"
8,CUDNN,USE_CUDNN,['USE_CUDNN']
9,OpenCV,USE_OPENCV_VERSION STREQUAL USE_OPENCV_VERSION  OpenCV_FOUND USE_OPENCV_VERSION  OpenCV_FOUND USE_OPENCV_VERSION STREQUAL,"['USE_OPENCV_VERSION STREQUAL """"'] or ['USE_OPENCV_VERSION STREQUAL """"', 'NOT OpenCV_FOUND'] or ['USE_OPENCV_VERSION STREQUAL """"', 'NOT OpenCV_FOUND'] or ['NOT (USE_OPENCV_VERSION STREQUAL """")', '']"
10,hdf5_cpp,USE_HDF5,['USE_HDF5']
11,libcudnn.so,USE_CPU_ONLY USE_CUDNN,"['NOT (USE_CPU_ONLY)', '', 'USE_CUDNN']"
12,GTest,BUILD_TESTS,['BUILD_TESTS']
13,PythonInterp,BUILD_TESTS,['BUILD_TESTS']
